,wind in knots,speed in knots,,,,,,,,,,,,,,,,,,
angle,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
42,,,,,, 3.31 ,, 4.02 ,, 4.57 ,, 5.05 ,, 5.32 ,, 5.44 ,,,, 5.49 
52,,,,,, 5.07 ,, 6.05 ,, 6.86 ,, 7.33 ,, 7.57 ,, 7.68 ,,,, 7.75 
60,,,,,, 5.37 ,, 6.38 ,, 7.14 ,, 7.53 ,, 7.75 ,, 7.89 ,,,, 7.98 
75,,,,,, 5.62 ,, 6.65 ,, 7.33 ,, 7.69 ,, 7.93 ,, 8.13 ,,,, 8.40 
90,,,,,, 5.56 ,, 6.63 ,, 7.44 ,, 7.82 ,, 8.04 ,, 8.21 ,,,, 8.67 
110,,,,,, 5.51 ,, 6.72 ,, 7.51 ,, 7.92 ,, 8.27 ,, 8.62 ,,,, 9.10 
120,,,,,, 5.35 ,, 6.52 ,, 7.39 ,, 7.84 ,, 8.19 ,, 8.57 ,,,, 9.35 
135,,,,,, 4.83 ,, 5.94 ,, 6.91 ,, 7.54 ,, 7.91 ,, 8.25 ,,,, 9.04 
150,,,,,, 4.08 ,, 5.17 ,, 6.11 ,, 6.94 ,, 7.53 ,, 7.88 ,,,, 8.55 
180,,,,,, 3.53 ,, 4.48 ,, 5.30 ,, 6.06 ,, 6.73 ,, 7.33 ,,,, 8.04 
